,Barrio,Barrio Latitude,Barrio Longitude,Venue,Venue Latitude,Venue Longitude,Category
58,La Barceloneta,41.3806533,2.1899274,Can Santi,41.37850571311331,2.1907056356388983,Tapas Restaurant
59,La Barceloneta,41.3806533,2.1899274,Green Spot,41.38156200982809,2.184232834140539,Vegetarian / Vegan Restaurant
60,La Barceloneta,41.3806533,2.1899274,Fàbrica del Sol,41.38235032904024,2.191602063075529,Museum
61,La Barceloneta,41.3806533,2.1899274,Nostrum Barceloneta,41.37901470709972,2.18975512296524,Food & Drink Shop
62,La Barceloneta,41.3806533,2.1899274,Residencia Campus del Mar,41.38258153657281,2.1908614847193895,College Residence Hall
63,La Barceloneta,41.3806533,2.1899274,Reina Margherita,41.379034970125794,2.18782489880054,Pizza Place
64,La Barceloneta,41.3806533,2.1899274,Club De Futbol Barceloneta,41.38371596335473,2.192034768093693,Soccer Field
65,La Barceloneta,41.3806533,2.1899274,Port-Vell Restorante,41.37975308274181,2.1875701821522173,Mediterranean Restaurant
66,La Barceloneta,41.3806533,2.1899274,Barceloneta Outdoor Gym,41.38141116302132,2.194942517694929,Athletics & Sports
67,La Barceloneta,41.3806533,2.1899274,Poké Maoli,41.37640604975146,2.1904136187524292,Hawaiian Restaurant
68,La Barceloneta,41.3806533,2.1899274,Circo de los Horrores,41.376723693578334,2.1879858967974903,Circus
69,La Barceloneta,41.3806533,2.1899274,Box 220 Surfshop,41.37717457804233,2.190891083267291,Board Shop
70,La Barceloneta,41.3806533,2.1899274,Petit Bar,41.37659683574032,2.1896466819743665,Bar
71,La Barceloneta,41.3806533,2.1899274,La Mar Salada,41.376684029316955,2.188657962579764,Paella Restaurant
72,La Barceloneta,41.3806533,2.1899274,Cafe De Los Angelitos,41.3785671794418,2.1906389531721038,Bar
73,La Barceloneta,41.3806533,2.1899274,Surf House Barcelona,41.37739616411243,2.1909063898307193,Bar
74,La Barceloneta,41.3806533,2.1899274,Segons Mercat,41.38223330883471,2.1888086171692134,Tapas Restaurant
75,La Barceloneta,41.3806533,2.1899274,Restaurante Salamanca,41.37848271925959,2.1914081732999624,Paella Restaurant
76,La Barceloneta,41.3806533,2.1899274,Vioko,41.376931030575115,2.1886166704674737,Ice Cream Shop
77,La Barceloneta,41.3806533,2.1899274,La Platjeta,41.38072115538445,2.1884926042964157,Spanish Restaurant
78,La Barceloneta,41.3806533,2.1899274,El Pintxo,41.38075,2.188632,Spanish Restaurant
79,La Barceloneta,41.3806533,2.1899274,Black Lab Brewhouse & Kitchen,41.38130941505225,2.18551233780006,Brewery
80,La Barceloneta,41.3806533,2.1899274,Moloka'i Sup Center,41.37776449868234,2.1902914592966343,Surf Spot
81,La Barceloneta,41.3806533,2.1899274,Parc de la Barceloneta,41.382502082984225,2.1933508546842546,Park
82,La Barceloneta,41.3806533,2.1899274,Arenal Restaurant,41.382084068887984,2.1943718397921725,Mediterranean Restaurant
83,La Barceloneta,41.3806533,2.1899274,Eyescream & Friends,41.37900198220648,2.187895747040166,Ice Cream Shop
84,La Barceloneta,41.3806533,2.1899274,L'Arròs,41.380281,2.187393,Paella Restaurant
85,La Barceloneta,41.3806533,2.1899274,Lolita Barceloneta,41.378328993514714,2.188063362994517,Tapas Restaurant
86,La Barceloneta,41.3806533,2.1899274,Terrace Sky 54,41.37705060639321,2.188720901946874,Café
87,La Barceloneta,41.3806533,2.1899274,Can Ramonet,41.380770117713254,2.188936352066992,Seafood Restaurant
88,La Barceloneta,41.3806533,2.1899274,Xup Xup,41.379568635603306,2.1928169464532004,Mediterranean Restaurant
89,La Barceloneta,41.3806533,2.1899274,Ca la Nuri,41.383015351435326,2.1950125694274902,Mediterranean Restaurant
90,La Barceloneta,41.3806533,2.1899274,Bar Los Pescadores,41.38109370524224,2.1899572427306215,Food
91,La Barceloneta,41.3806533,2.1899274,Cal Chusco,41.37728327772062,2.189180277768783,Tapas Restaurant
92,La Barceloneta,41.3806533,2.1899274,El Filferro,41.37957331222611,2.1913602891663886,Mediterranean Restaurant
93,La Barceloneta,41.3806533,2.1899274,La Gavina,41.38066950427594,2.1852521104618834,Seafood Restaurant
94,La Barceloneta,41.3806533,2.1899274,Las Fritas,41.38028626533752,2.187293939893153,Fast Food Restaurant
95,La Barceloneta,41.3806533,2.1899274,Hotel 54 Barceloneta ***,41.377139855972096,2.188853680873957,Hotel
96,La Barceloneta,41.3806533,2.1899274,El Nou Ramonet,41.381754,2.187575,Spanish Restaurant
97,La Barceloneta,41.3806533,2.1899274,Restaurante Perú,41.38056239009375,2.187268523005019,Paella Restaurant
98,La Barceloneta,41.3806533,2.1899274,La Cassola,41.37841755380924,2.189750928262604,Deli / Bodega
99,La Barceloneta,41.3806533,2.1899274,El Rey de la Gamba,41.37760510890006,2.188388700338606,Seafood Restaurant
100,El Gòtic,41.3833947,2.1769119,Barrio Gótico,41.38366049614543,2.1772899008766218,Neighborhood
101,El Gòtic,41.3833947,2.1769119,Gelaaati! di Marco,41.383185515636995,2.1773687184560084,Ice Cream Shop
102,El Gòtic,41.3833947,2.1769119,La Alcoba Azul,41.38283347569902,2.1755058371986005,Spanish Restaurant
103,El Gòtic,41.3833947,2.1769119,Pont del Carrer del Bisbe,41.38331035757379,2.1764130153011076,Bridge
104,El Gòtic,41.3833947,2.1769119,Plaça de Sant Jaume,41.3826903148917,2.177010192961751,Plaza
105,El Gòtic,41.3833947,2.1769119,Plaça de Sant Felip Neri,41.38337760569814,2.1751517690117925,Plaza
106,El Gòtic,41.3833947,2.1769119,Pura Vida,41.384882291526935,2.1778668507700827,Cocktail Bar
107,El Gòtic,41.3833947,2.1769119,Salterio,41.3825999710512,2.17607707568857,Tea Room
108,El Gòtic,41.3833947,2.1769119,Xurrería Manuel San Román,41.382241106616874,2.1750853482750383,Snack Place
109,El Gòtic,41.3833947,2.1769119,Artevistas Art Gallery,41.381706733183094,2.176496784701534,Art Gallery
110,El Gòtic,41.3833947,2.1769119,Be Chocolat,41.38259725181887,2.1747248202957707,Dessert Shop
111,El Gòtic,41.3833947,2.1769119,Bodega La Palma,41.382279929015745,2.178687811537624,Tapas Restaurant
112,El Gòtic,41.3833947,2.1769119,Mannà Gelats,41.38307898657056,2.174487680308488,Ice Cream Shop
113,El Gòtic,41.3833947,2.1769119,El Cuiner de Damasc,41.38148993786303,2.177677305294852,Falafel Restaurant
114,El Gòtic,41.3833947,2.1769119,pizzeria da nanni,41.383162,2.177337,Pizza Place
115,El Gòtic,41.3833947,2.1769119,Plaça Nova,41.38440143755482,2.175315041098269,Plaza
116,El Gòtic,41.3833947,2.1769119,Barcelona Duck Store,41.38305757224352,2.174407719275142,Baby Store
117,El Gòtic,41.3833947,2.1769119,Golfo de Bizkaia Pi,41.383176,2.174016,Tapas Restaurant
118,El Gòtic,41.3833947,2.1769119,Arcano,41.38496533388009,2.1785741853063474,Steakhouse
119,El Gòtic,41.3833947,2.1769119,Takumi Sapporo Ramen Kitchen,41.384969,2.177186,Ramen Restaurant
120,El Gòtic,41.3833947,2.1769119,Nunoya,41.382822874548474,2.174271311276456,Fabric Shop
